Product Name,Description,Price,Currency,Reference_number,URL
Boucles d'oreilles Clash de Cartier,"Or rose, diamants""}",12600.0,EUR,CRN8515239,https://www.cartier.com/fr-fr/boucles-d-oreilles-clash-de-cartier_cod1647597322346504.html#dept=EU_Clash-de-Cartier
Collier Clash de Cartier,"Or rose, diamants""}",6750.0,EUR,CRN7424470,https://www.cartier.com/fr-fr/collier-clash-de-cartier_cod1647597322346501.html#dept=EU_Clash-de-Cartier
Bracelet Clash de Cartier,"Or rose""}",42000.0,EUR,CRN6729617,https://www.cartier.com/fr-fr/bracelet-clash-de-cartier_cod1647597358464152.html#dept=EU_Clash-de-Cartier
Bague Clash de Cartier,"Or rose, diamants""}",6400.0,EUR,CRN4796100,https://www.cartier.com/fr-fr/bague-clash-de-cartier_cod1647597329765590.html#dept=EU_Clash-de-Cartier
Bague Clash de Cartier Petit Modèle,"Or gris""}",2900.0,EUR,CRB4233100,https://www.cartier.com/fr-fr/bague-clash-de-cartier-petit-modele_cod25372685655709655.html#dept=EU_Clash-de-Cartier
Bague Clash de Cartier,"Or rose, diamants""}",13300.0,EUR,CRB4237900,https://www.cartier.com/fr-fr/bague-clash-de-cartier_cod1647597296024660.html#dept=EU_Clash-de-Cartier
Boucles d'oreilles Clash de Cartier,"Or rose""}",8400.0,EUR,CRB8301478,https://www.cartier.com/fr-fr/boucles-d-oreilles-clash-de-cartier_cod1647597284036261.html#dept=EU_Clash-de-Cartier
Bague Clash de Cartier Petit Modèle,"Or rose""}",2720.0,EUR,CRB4229800,https://www.cartier.com/fr-fr/bague-clash-de-cartier-petit-modele_cod25372685655710108.html#dept=EU_Clash-de-Cartier
Bracelet Clash de Cartier Moyen Modèle,"Or rose""}",11000.0,EUR,CRB6065217,https://www.cartier.com/fr-fr/bracelet-clash-de-cartier-moyen-modele_cod25458910981764676.html#dept=EU_Clash-de-Cartier
Collier Clash de Cartier,"Or rose""}",26500.0,EUR,CRN7424462,https://www.cartier.com/fr-fr/collier-clash-de-cartier_cod1647597301881914.html#dept=EU_Clash-de-Cartier
Bracelet Clash de Cartier,"Or rose""}",12600.0,EUR,CRN6723517,https://www.cartier.com/fr-fr/bracelet-clash-de-cartier_cod1647597304855098.html#dept=EU_Clash-de-Cartier
Bague Clash de Cartier,"Or rose""}",5700.0,EUR,CRB4235300,https://www.cartier.com/fr-fr/bague-clash-de-cartier_cod23841192565662816.html#dept=EU_Clash-de-Cartier
Bague Clash de Cartier Diamants,"Or rose, diamants""}",10400.0,EUR,CRN4765400,https://www.cartier.com/fr-fr/bague-clash-de-cartier-diamants_cod25372685655509593.html#dept=EU_Clash-de-Cartier
Boucles d'oreilles Clash de Cartier,"Or rose, diamants""}",23000.0,EUR,CRN8515236,https://www.cartier.com/fr-fr/boucles-d-oreilles-clash-de-cartier_cod1647597301578261.html#dept=EU_Clash-de-Cartier
Bague Clash de Cartier Moyen Modèle,"Or gris non-rhodié""}",4000.0,EUR,CRB4231100,https://www.cartier.com/fr-fr/bague-clash-de-cartier-moyen-modele_cod25458910981767157.html#dept=EU_Clash-de-Cartier
Collier Clash de Cartier,"Or gris""}",45000.0,EUR,CRN7424525,https://www.cartier.com/fr-fr/collier-clash-de-cartier_cod1647597357220301.html#dept=EU_Clash-de-Cartier
Bracelet Clash de Cartier Moyen Modèle,"Or gris""}",11700.0,EUR,CRB6065717,https://www.cartier.com/fr-fr/bracelet-clash-de-cartier-moyen-modele_cod25458910981768070.html#dept=EU_Clash-de-Cartier
Bague Panthère de Cartier,"Or jaune, grenats tsavorites, onyx""}",3950.0,EUR,CRB4230100,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25458910981766770.html#dept=EU_Panthere-de-Cartier
Boucles d'oreilles Panthère de Cartier,"Or rose, laque, grenats tsavorites, onyx""}",6600.0,EUR,CRB8301510,https://www.cartier.com/fr-fr/boucles-d-oreilles-panthere-de-cartier_cod1647597345776620.html#dept=EU_Panthere-de-Cartier
Boucles d'oreilles Panthère de Cartier,"Or jaune, laque, grenats tsavorites, onyx""}",6600.0,EUR,CRB8301509,https://www.cartier.com/fr-fr/boucles-d-oreilles-panthere-de-cartier_cod1647597345776617.html#dept=EU_Panthere-de-Cartier
Collier Panthère de Cartier,"Or gris, onyx, émeraudes, diamants""}",28900.0,EUR,CRN7424341,https://www.cartier.com/fr-fr/collier-panthere-de-cartier_cod6630340698858791.html#dept=EU_Panthere-de-Cartier
Collier Panthère de Cartier,"Or jaune, onyx, grenats tsavorites""}",9150.0,EUR,CRB7224756,https://www.cartier.com/fr-fr/collier-panthere-de-cartier_cod6630340698858717.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or jaune, emeraudes, onyx, diamants""}",12600.0,EUR,CRN4765800,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25458910981437639.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or gris, emeraudes, onyx, diamants""}",13400.0,EUR,CRN4765900,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25458910981438808.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or rose, grenats tsavorites, onyx""}",3950.0,EUR,CRB4230000,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25458910981766748.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or rose, grenats tsavorite, onyx, laque noire, diamants""}",9600.0,EUR,CRB4221400,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25372685655710961.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or jaune, laque, diamants, grenat tsavorite""}",9600.0,EUR,CRB4096700,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25458910981302007.html#dept=EU_Panthere-de-Cartier
Bague Panthère de Cartier,"Or jaune, emeraudes, onyx, diamants""}",16400.0,EUR,CRN4765500,https://www.cartier.com/fr-fr/bague-panthere-de-cartier_cod25458910981437577.html#dept=EU_Panthere-de-Cartier
